set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
40926,"SEGA Genesis Console",3600,4499,https://lego.mybrickhouse.com/products/lego-r-sega-r-sega-genesis-console-building-set-40926
11503,"Flower Wall",8100,9999,https://lego.mybrickhouse.com/products/lego-r-botanicals-flower-wall-decor-11503
77080,"Supply Drop",4000,4499,https://lego.mybrickhouse.com/products/lego-r-fortnite-r-supply-drop-building-set-77080
43301,"Toy Story Slinky Dog Bookends",15999,15999,https://lego.mybrickhouse.com/products/lego-r-disney-and-pixar-toy-story-slinky-dog-bookends-43301
21584,"Nether & End Portal Journey",1499,1499,https://lego.mybrickhouse.com/products/lego-r-minecraft-r-nether-end-portal-journey-gamer-toy-21584
42691,"Garden Restaurant",11700,13999,https://lego.mybrickhouse.com/products/lego-r-friends-garden-restaurant-toy-building-set-42691
71862,"Lloyd's Dragon Mech Battle Pack",900,999,https://lego.mybrickhouse.com/products/lego-r-ninjago-r-lloyd-s-dragon-mech-battle-pack-toy-71862
40860,"Toy Story",3600,4499,https://lego.mybrickhouse.com/products/lego-r-brickheadz-disney-toy-story-building-set-40860
40924,"Megatron Robot & Vehicle",2200,2499,https://lego.mybrickhouse.com/products/lego-r-brickheadz-transformers-megatron-robot-vehicle-40924
77252,"APXGP Team Race Car from F1 The Movie",2500,2999,https://lego.mybrickhouse.com/products/lego-r-speed-champions-apxgp-team-race-car-from-f1-r-the-movie-77252
11377,"The Lord of the Rings: Minas Tirith",62200,69999,https://lego.mybrickhouse.com/products/lego-r-icons-the-lord-of-the-rings-minas-tirith-11377
40861,"Sulley, Mike and Boo Figures",2200,2499,https://lego.mybrickhouse.com/products/lego-r-brickheadz-disney-and-pixar-sulley-mike-and-boo-figures-40861
21598,"Underwater Adventure",2700,2999,https://lego.mybrickhouse.com/products/lego-r-minecraft-r-underwater-adventure-toy-building-set-21598
11389,"Project Hail Mary",9000,11999,https://lego.mybrickhouse.com/products/lego-r-icons-project-hail-mary-spaceship-model-kit-11389
854327,"Simba Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-disney-simba-key-chain-animal-gift-idea-854327
40917,"The Darksaber",,2999,https://lego.mybrickhouse.com/products/lego-r-star-wars-the-darksaber-building-kit-for-adults-40917
76301,"Batman & Batmobile vs. Mr. Freeze",1800,2290,https://lego.mybrickhouse.com/products/dc-batman-batman-batmobile-vs-mr-freeze-vehicle-playset-76301
10913,"Brick Box",2700,3199,https://lego.mybrickhouse.com/products/brick-box-10913-building-kit-65-pieces
31388,"Wild Animals: Family of Koalas",11700,12999,https://lego.mybrickhouse.com/products/lego-r-creator-3-in-1-wild-animals-family-of-koalas-31388
10426,"Train Bridge and Tracks Expansion Set",4099,4099,https://lego.mybrickhouse.com/products/duplo-r-town-train-bridge-and-tracks-expansion-set-10426-building-kit-42-pieces
854321,"The Hulk Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-marvel-the-hulk-key-chain-with-super-hero-character-minifigure-854321
75460,"New Republic X-Wing Starfighter",6300,7499,https://lego.mybrickhouse.com/products/lego-r-star-wars-new-republic-x-wing-starfighter-set-75460
75442,"The Mandalorian's N-1 Starfighter",22500,26999,https://lego.mybrickhouse.com/products/lego-r-star-wars-the-mandalorian-s-n-1-starfighter-75442
40804,"Bumblebee Robot & Vehicle",2200,2099,https://lego.mybrickhouse.com/products/brickheadz-transformers-bumblebee-robot-figure-vehicle-toy-40804-building-kit-253-pieces
